text,sentiment,sourcesheet,unanimous,annotator_1,annotator_2,annotator_3
السلام علیکم سیفی اتنے عرصے بعد آپ کو یہاں دیکھ کر بہت خوشی ہوئی,positive,"software,blog and forum reviews",True,pos,pos,pos
وہاں سے تو وائرس بھی آتے ہیں,negative,dramas,True,neg,neg,neg
جہادی شدت پسند جنگجو پاکستانی اسٹیٹ کی رٹ کو چیلنج کرنے والے پھر یہ اور کون لوگ ہیں؟,neutral,dramas,True,neu,neu,neu
ابلے انڈے مجھے بالکل نہیں پسن,negative,food and recipes,True,neg,neg,neg
کیا بات ہے لگتا ہے ڈر ڈائجسٹ کے لکھاری یہاں جمع ہو گئے ہیں سارے ویسے ایک بات تو ہے ایک لڑکی نے خوفناک قسم کا واقعہ شیئر کیا تو دوسری بھلا کیونکر پیچھے رہتی اور یار تم اور ڈر عجیب سی بات ہے تم تو خود اتنی خوفناک ہو کہ رات کو بچے تمہارے نام سے ڈرائے جاتے ہیں اگر رات کو کوئی چڑیل دیکھ لے تو چیخے مارتے ہوئے بھاگ جائے گی بہت خوب پشتو میوزک جتنا اونچا سنو اتنا مزہ دیتا ہے میوزک کے معاملے میں کافی تجربہ کار ہ,neutral,"software,blog and forum reviews",True,neu,neu,neu
 کچھ عرصہ پہلے میں نے ایک کارڈ ریڈر لیا تھا جس میں سِم کی پورٹ بھی ہے یعنی وہ کارڈ ریڈر بھی ہے اور سِم ریڈر بھی  لیکن میں نے اس میں سم ڈال کر اپنے کمپیوٹر کے ساتھ منسلک کیا تو کوئی نتیجہ سامنے نہیں آیا حتیٰ کہ سِم پورٹ کا کوئی ڈرایئور وغیرہ بھی انسٹال نہیں ہواآپ کا سافٹ ویئر ٹرائی کرتا ہوں پھر دیکھتے ہیں کیا بنتا ہے3 ,negative,"software,blog and forum reviews",True,neg,neg,neg
جی بالکل میں نے تو بس تصویریں بھی ایسے ہی فٹافٹ لی تھیں ان دیکھا ہے تو بہت اچھی لگ رہی ہیں اور اس میں میری محبت بھی شامل ہے تو اسی لئے ہر لحاظ سے پرفیک,positive,food and recipes,True,pos,pos,pos
جی بھیا بن جائے گی اور بہت زبردست بنے گی ,positive,food and recipes,True,pos,pos,pos
اففف اتنا آسان کام,positive,food and recipes,True,pos,pos,pos
بہت اچھی فیملی ایڈونچر مووی ہے,positive,dramas,True,pos,pos,pos
ہماری صاحبزادی پہلے گھر سے لنچ پیک کر کے لے جاتی تھیں پھر ایک روز ضد کرنے لگیں کہ ان کے زیادہ تر دوست کیفیٹیریا سے لے کر لنچ کرتے ہیں خیر ہم نے ان کے اسکول جا کر اس کا انتظام کر دیا اب ایک روز ایک اسٹور میں ان کے لیے کپڑے دیکھ رہے تھے تبھی ان کی نگاہ ٹفن کیرئیر بیگس کی طرف پڑی تو کہنے لگیں کہ ہمیں یہ لینا ہے ہم نے کہا کہ بیٹا اس کا کیا کریں گی آپ تو گھر سے لنچ لے کر جاتی ہی نہیں تو کہتی ہیں بٹ آئی لائک اٹ ہم نے کہا لیکن آپ نے تو خود ہی کچھ عرصہ قبل کیفیٹیریا میں لنچ کرنے کی ضد کی تھی تو کہتی ہیں بٹ آئی ڈونٹ لائک اٹ ان دی کیفیٹیریا آئی وانٹ دس,neutral,food and recipes,True,neu,neu,neu
اور نیچے دئے ہوئے ربط سے آپ اسے ڈاؤنلوڈ کر سکتے ہیں,neutral,"software,blog and forum reviews",True,neu,neu,neu
س کا کوئی آنلائن لنک عنایت ہو یا یہ کس ٹی وہ چینل پہ لگتا ہے,neutral,dramas,True,neu,neu,neu
مزید نمائش کے لیے کلک کریں,neutral,dramas,True,neu,neu,neu
چہار مینار غلط ہے اس کو چار مینار ہی کہتے ہیں,negative,food and recipes,True,neg,neg,neg
انشاءاللہ خان صاحب همے یقین ہے اج ہے یے ٹارگٹ پورا ہوگا انشاءاللہ انشاءاللہ انشاءاللہ انشاءاللہ انشاءاللہ,positive,politics,True,pos,pos,pos
میرے خیال میں طریقے سے تو نہیں آتا ہو گا کھانا ہاں الٹا سیدھا کھا ہی لیتی ہو گی نیپکن باندھ ک,negative,food and recipes,True,neg,neg,neg
ڈرامے تو میں بھی شاذ ہی دیکھتا ہوں,neutral,dramas,True,neu,neu,neu
مزید کچھ عرض کیجے کون کون سے مضامین اس میں شامل ہیں ,neutral,"software,blog and forum reviews",True,neu,neu,neu
میں نے سوائے شاشانک کے شاید ہی کبھی کسی فلم کو ریٹ کیا ہ,neutral,dramas,True,neu,neu,neu
علاوہ ازیں کل کلاں کو یہ اپنی سروس بند کر کے ڈیٹا مائگریٹ کرنے کے لیے پیسے بھی مانگ سکتے ہیں,negative,"software,blog and forum reviews",True,neg,neg,neg
بھائی جوتے کی خاک بھی نہی ہیں پی ٹی آئی یہ گند پنجاب میں رہنے دو,negative,politics,True,neg,neg,neg
جی بالکل,neutral,sports,True,neu,neu,neu
آرمی میڈیا  اور سارا سٹیٹس کو ایک طرف کھڑا ہے اور عمران خان ایک طرف کھڑا ہے  آرمی صرف گندے لوگوں کو سپورٹ کرتی ہے کیونکے ان کے اپنے انٹرسٹس ہیں  لیکن ہم سب عمران خان کے ساتھ ہیں کیونکے وہ حق پی ہے اور جیت آخر کر سچ کی ہی ہوتی ہے اور عمران ہی یہ جنگ جیتے گا انشاللہ,neutral,politics,True,neu,neu,neu
بھائی ریلیز تو وہی ہوگی چاہے ٹورنٹ سے کرو یا ریپڈ شئیر سےgrin,neutral,dramas,True,neu,neu,neu
گتا ہے آپ کو روزہ لگ گیا یا پھر آپ روزے کو لگ گئے,neutral,"software,blog and forum reviews",True,neu,neu,neu
ایک کارن سوپ کی ریپسی بتادوں گی وہ کافی اچھا لگا تھا مجھے,positive,food and recipes,True,pos,pos,pos
‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏سچ بولنا ایک جرم ہے اور ھم نے یہ جرم کيا ہے ‏ میں نہ تو ملا ہوں نہ سایستدان کہ منافقت سےکام لوں,negative,politics,True,neg,neg,neg
تاہم دلچسپ میچ ہونے کی توقع برقرار ہے,positive,sports,True,pos,pos,pos
اس کے بعد کے مراحل تو بن کہے جگ ظاہر ہیں ماضی قریب میں خریدے ہوئے ڈیپ فرائر میں تیل گرم کیا ڈیپ فرائر دستیاب نہ ہو تو کڑاہی وغیرہ استعمال کریں اور پھر قاشوں کو محلول میں ڈبکیاں دلا کر کھولتے تیل میں ڈالنے کی سزا دی,negative,food and recipes,True,neg,neg,neg
اردو ویکیپیڈیا کے لیے ایک جاواسکرپٹ درکار ہے جس کے ذریعہ ایسے زائرین جو رجسٹرڈ یا لاگڈ ان نہیں ہے انہی پاپ اپ میں یہ پیغام ملے کہ وہ اس سائٹ پر رجسٹر یا لاگ ان ہو کر مطالعہ یا شرکت کریں کیا کوئی ساتھی مدد کرسکتا ہے؟  ,neutral,"software,blog and forum reviews",True,neu,neu,neu
 تعلیم بیچنے والے لوٹے جب آپ کے مشیر ہوں تو تبدیلی بڑی مشکُوک نظر آتی ہے,negative,politics,True,neg,neg,neg
یہ ترکیب تو واقعی خوشگوار سرپرائز تھی,positive,food and recipes,True,pos,pos,pos
جب اچھے کام نہیں کریں گے تو ایسا ھی ھو گا عوام کی خدمت کریں تو اس طرح نہ مریں عوام خود خفاظت کرتی ھے پھر اور اللہ,neutral,politics,True,neu,neu,neu
فائل مسنگ,negative,"software,blog and forum reviews",True,neg,neg,neg
جو خود کو اچھی لگے اسے مکمل دیکھ لیتا ہوں ,positive,dramas,True,pos,pos,pos
ہم بھی دیکھتے ہیں آپ کے دشمنان کو ویسے وعدہ پورا نہ کرنے والوں کے دشمن زیادہ ہوتے ہیں ,negative,dramas,True,neg,neg,neg
کوئی فائدہ نہیں اب اگلی دفعہ کا انتظار کرو جب یہ کوفتہ پلاؤ پکے گا,negative,food and recipes,True,neg,neg,neg
iورینج لائن منصوبہ پر حکومت جھوٹ بول رہی,negative,politics,True,neg,neg,neg
ٹرائی کر کے ویڈیو کب بھیجیں گے,neutral,food and recipes,True,neu,neu,neu
ہو سکے تو اس کا ربط بھی ارسال کیجے ,neutral,"software,blog and forum reviews",True,neu,neu,neu
الیکشن ختم ہوگئے  میں بھی دھاندلی کا رونا رونا تھا,negative,politics,True,neg,neg,neg
آپ کی امیمرحومہ خوش نصیب ماں تھیں جنہیں اللہٰ نےآپ جیسا بیٹا دیا آپ قوم کا بھی فخر ہیں,positive,politics,True,pos,pos,pos
نہیں ,negative,dramas,True,neg,neg,neg
کمال کا سافٹ وئیر کاکا,positive,"software,blog and forum reviews",True,pos,pos,pos
ہم نے نہ ماننا ہی تو سیکھا ہے,negative,sports,True,neg,neg,neg
آپ اسے صرف 'کورٹ میرج' تک ہی محدود کر رہے ہیںجبکہ اس کے دوسرے اور بھی محرکات ہیں,neutral,politics,True,neu,neu,neu
صبر کریں یہ کیس خصوصی عدالت میں جائے گا ,positive,sports,True,pos,pos,pos
اوراء یہ سچ ہے کہ امریکہ کے اکثر باسیوں کو اپنےملک علاوہ کچھ نظر ہی‌نہیں آتا کالج کے زمانے کی بات ہے کہ ایک نارویجن اسٹوڈنٹ امریکہ میں ایک سال پڑھ کر واپس آیا اوربتایا کہ جب اسنے پہلی بار امریکیوں‌کو اپنا تعارف کر وایا تو انہوں‌نے  سوال پوچھے,neutral,dramas,True,neu,neu,neu
آج کا میچ تو سوا نو بجے ہی ختم ہوگیا,neutral,sports,True,neu,neu,neu
آپ کی ھمتحوصلہ لگن دیکھ کر دل سے دعا نکلتی ھے اللہ  آپ کو آپ کی محنت کا ثمر عطا کرے طبعیت ٹھیک نہیں  دعا کریں اللہ آرام دے,positive,politics,True,pos,pos,pos
ہر معاملے میں مغرب کی مثال شدید احساس کمتری ہے جو پاکستانی حکمرانوں کا وطیرہ بن گئی ہے,negative,politics,True,neg,neg,neg
گنگولی کا کاروبار بھی اچھا چلے گا,positive,sports,True,pos,pos,pos
چھا لگاہے یارا,positive,"software,blog and forum reviews",True,pos,pos,pos
نیشنل ایکشن پلان پر تنقید بلاجواز ہے,negative,politics,True,neg,neg,neg
اب وقت آگیا ہے کہ کرپشن کا خاتمہ ہو جائے,positive,politics,True,pos,pos,pos
بلکل سہی پنجاب میں بھی کاروائی ہونی چاہئیے,positive,politics,True,pos,pos,pos
مجیب رحمان شامی نے صرف ٠٠٠٠٠٠٠٠٠٠٠٠٠٠١ فیصد کاموں کا لوگوں کو بتایا ھے  لعنت ھے اسے تجربہ کار صحافی پر جو خود تحقیق نہیں کرتا بلکہ سنی ہوئی بات کو اگے کر دیتا ھے ,negative,politics,True,neg,neg,neg
اس سال کئی سوانحی فلمیں بھی بنیں اور نامزد بھی ہوئیں جیسے The Revennt بھی کسی حد تک سوانحی ہے اس کے علاوہ سپاٹ لائٹ Spotlight بھی سوانحی فلم ہے اور چھ ایوارڈز کے لیے نامزد ہوئی ہے اسی طرح ایک فلم ایپل کے بانی آنجہانی سٹیو جابز پر اسی نام Steve Jobs سے بننے والی فلم ہے,positive,dramas,True,pos,pos,pos
بہتر ہوتا اگر آپ سے کے بارے میں کچھ تصاویر بھی مہیا کر پاتے,positive,"software,blog and forum reviews",True,pos,pos,pos
الطاف بھائی کا انتخابی نشان ہے اور یہ مجھے ڈراتے رہتے ہیں سارے,negative,politics,True,neg,neg,neg
 پر ڈھیر ہو گئے ,negative,sports,True,neg,neg,neg
واقعی اس ورلڈ کپ نے تو دونوں ٹیموں کی عزت رول کر رکھ دی ہے,negative,sports,True,neg,neg,neg
بندہ اچھا ہے بس اس کو بات چیت کرنے کی تمیز نہیں,neutral,politics,True,neu,neu,neu
ہماری جان پاکستان پت#PTI زندباد زندباد عمران خان ہم اپ ک سات ہے,positive,politics,True,pos,pos,pos
آفریدی کی ففٹی ہونے دے شعیب یار,neutral,sports,True,neu,neu,neu
میرا خیال ہے فیصل آباد میں روزہ بند ہوگیا ہے,neutral,food and recipes,True,neu,neu,neu
یی ہر روز ٹی وی کو اشتہار دیتے ھیں اربوں روپے ایسے طرح خرچ کی گئے,neutral,politics,True,neu,neu,neu
جناب یہ پہلی نمائش ہے اصل کہانی ابھی باقی ہے ,positive,dramas,True,pos,pos,pos
یہ براوزر بہت ہی کمال کا براوزر ہے اس کی براوزنگ سپیڈ کے علاوہ اس کی ڈاونلوڈنگ سپیڈ بھی بہت کمال کی ہے میں نے اس کو ونڈو سیون پر یوز کیا ہے اس کی دکھاوٹ بہت ہی خوبصورت اور اس کے فیچرز بہت ہی کمال کے ہیں آج تک کے سبھی براوزر سے یہ براوزر بہت ہی منفرد دلکش اور سپیڈی ہے ,positive,"software,blog and forum reviews",True,pos,pos,pos
 خان صاحب اپنی جیب سے بنوایا ہے آپ نے فلائی اوور؟ ,neutral,politics,True,neu,neu,neu
آئین میں کوئی ایسا طریقہ ہے کے چھٹی کے لیے ہر صوبہ اپنی مرضی کا دن رکھ سکے ؟,neutral,politics,True,neu,neu,neu
کبوتر نہیں پہنچا ہے ابھی تک کئی دنوں سے انتظار کررہا ہوں کہیں کسی کبوتری کے پاس تو نہیں اٹک گیا؟,negative,dramas,True,neg,neg,neg
آپ ای بنائے گے اقبال کا پاکستان پاکستان زندہ باد اسدالرحمن چوہدری,positive,politics,True,pos,pos,pos
آج اے بی ڈیولیئر نے اُنہیں منہ دکھانے کے قابل نہیں چھوڑا,negative,sports,True,neg,neg,neg
لو جی یہی ترکیب تو میں آپکو لکھنے والا تھا بس یہ احتیاط رکھیئے کہ زردی ٹوٹنے نہ پائے اور تلتے ہوئے زردی سخت نہ ہو جائے,positive,food and recipes,True,pos,pos,pos
ذرائع کے مطابق تحریک طالبان نے پاکستان کے میچ ہارنے کی ذمہ داری قبول کر لی ہے شکست کا مرکز کوہِ ہندوکش سے دو ہزار کلومیٹر مشرق میں کلکتے کے مقام پہ تھا,negative,sports,True,neg,neg,neg
ان کو تو آپ پہچانتے ہی ہوں گے,neutral,sports,True,neu,neu,neu
آپکو کسنے کہا میں جنوبی افریقہ کا اسپورٹر ہوں؟  وہ الگ بات ہے کہ میرے جدول کے مطابق یہ ٹیم فائنل کھیلے گی اگر انکا ٹاکرا ویسٹ اینڈیز سے سیمی فائنل میں ہوگیا کیونکہ نیوزی لینڈ کو ہرانا مشکل لگ رہا ہے,neutral,sports,True,neu,neu,neu
جو اچھی اور بچوں والی ہو وہ اپنی غزل بٹیا کے لیئے الگ سنبھال لیتا ہوں  ,positive,dramas,True,pos,pos,pos
ذلت امیز شکست کے باوجود پاکستانی کپتان عظمت کا طلب گار ہے,neutral,sports,True,neu,neu,neu
کچے کیلے کے پکوڑے کبھی کھائے تو نہیں,negative,food and recipes,True,neg,neg,neg
اس چینل پر آپکو اچھی کوالٹی کی ویڈیوز دیکھنےکو ملے گی,positive,dramas,True,pos,pos,pos
غوں غاں  کچھ قابل فہم بات لکھ جس کا تجھے جواب بھی ملے,positive,politics,True,pos,pos,pos
یہ سی ڈی پراجیکٹ ابھی بازار میں دستیاب نہیں صرف مجھ سے براہ راست ہی طلب کیا جا سکتا ہے,neutral,"software,blog and forum reviews",True,neu,neu,neu
اللہ اس شخص کو ہدایت عقل اور سمجھ دے,positive,dramas,True,pos,pos,pos
بلکل بات چیت سے بڑے سے بڑے مسئلے حل ہو جائیں گے,positive,politics,True,pos,pos,pos
   آؤٹ ہیں زمبابوے کے بہت جی داری سے کھیلا ہے زمبابوے نے  سے اوپر کا اوسط ہے,neutral,sports,True,neu,neu,neu
اور اس دجالی دھاگے کے بارے کیا فرمائیں گے,negative,dramas,True,neg,neg,neg
وورز ,neutral,sports,True,neu,neu,neu
ٹائیم ٹریولر اپنی وائف کے پاسٹ میں اس کے بچپن میں بھی جا کر ملتا ہے  فیوچر میں بھی جا کر ملتا ہے  اور اینڈ بہت سنسنی خیز ہوتا ہے اس مووی کا ,negative,dramas,True,neg,neg,neg
