word,sentiment,score,source,category,script
بہترین,positive,0.8,curated+public-seeds,polarity,urdu
عمدہ,positive,0.8,curated+public-seeds,polarity,urdu
شاندار,positive,0.8,curated+public-seeds,polarity,urdu
زبردست,positive,0.8,curated+public-seeds,polarity,urdu
کمال,positive,0.8,curated+public-seeds,polarity,urdu
کمال کا,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب,positive,0.8,curated+public-seeds,polarity,urdu
قیمتی,positive,0.8,curated+public-seeds,polarity,urdu
عظیم,positive,0.8,curated+public-seeds,polarity,urdu
خوبصورت,positive,0.8,curated+public-seeds,polarity,urdu
دلکش,positive,0.8,curated+public-seeds,polarity,urdu
دل آویز,positive,0.8,curated+public-seeds,polarity,urdu
خوش,positive,0.8,curated+public-seeds,polarity,urdu
خوشگوار,positive,0.8,curated+public-seeds,polarity,urdu
خوشحال,positive,0.8,curated+public-seeds,polarity,urdu
پرکشش,positive,0.8,curated+public-seeds,polarity,urdu
پسندیدہ,positive,0.8,curated+public-seeds,polarity,urdu
مددگار,positive,0.8,curated+public-seeds,polarity,urdu
مفید,positive,0.8,curated+public-seeds,polarity,urdu
قابل بھروسہ,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ بھروسہ,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ اعتماد,positive,0.8,curated+public-seeds,polarity,urdu
اعتماد کے قابل,positive,0.8,curated+public-seeds,polarity,urdu
بھروسہ مند,positive,0.8,curated+public-seeds,polarity,urdu
موثر,positive,0.8,curated+public-seeds,polarity,urdu
مؤثر,positive,0.8,curated+public-seeds,polarity,urdu
بہت اچھا,positive,0.8,curated+public-seeds,polarity,urdu
بہت عمدہ,positive,0.8,curated+public-seeds,polarity,urdu
متاثر کن,positive,0.8,curated+public-seeds,polarity,urdu
حیرت انگیز,positive,0.8,curated+public-seeds,polarity,urdu
حیرت انگیز حد تک,positive,0.8,curated+public-seeds,polarity,urdu
حیران کن,positive,0.8,curated+public-seeds,polarity,urdu
فرحت بخش,positive,0.8,curated+public-seeds,polarity,urdu
اطمینان بخش,positive,0.8,curated+public-seeds,polarity,urdu
کامیاب,positive,0.8,curated+public-seeds,polarity,urdu
کارگر,positive,0.8,curated+public-seeds,polarity,urdu
صاف,positive,0.8,curated+public-seeds,polarity,urdu
شفاف,positive,0.8,curated+public-seeds,polarity,urdu
محفوظ,positive,0.8,curated+public-seeds,polarity,urdu
مطلوب,positive,0.8,curated+public-seeds,polarity,urdu
اچھا,positive,0.8,curated+public-seeds,polarity,urdu
اچھی,positive,0.8,curated+public-seeds,polarity,urdu
اچھے,positive,0.8,curated+public-seeds,polarity,urdu
اچھوں,positive,0.8,curated+public-seeds,polarity,urdu
اعلیٰ,positive,0.8,curated+public-seeds,polarity,urdu
اعلی,positive,0.8,curated+public-seeds,polarity,urdu
عالیشان,positive,0.8,curated+public-seeds,polarity,urdu
نفیس,positive,0.8,curated+public-seeds,polarity,urdu
معیاری,positive,0.8,curated+public-seeds,polarity,urdu
مزیدار,positive,0.8,curated+public-seeds,polarity,urdu
مزہ دار,positive,0.8,curated+public-seeds,polarity,urdu
دل خوش کن,positive,0.8,curated+public-seeds,polarity,urdu
دل موہ لینے والا,positive,0.8,curated+public-seeds,polarity,urdu
شاندار کارکردگی,positive,0.8,curated+public-seeds,polarity,urdu
بہت پسند,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ تعریف,positive,0.8,curated+public-seeds,polarity,urdu
تعریفی,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب معیار,positive,0.8,curated+public-seeds,polarity,urdu
باعثِ مسرت,positive,0.8,curated+public-seeds,polarity,urdu
مسرت بخش,positive,0.8,curated+public-seeds,polarity,urdu
جاندار,positive,0.8,curated+public-seeds,polarity,urdu
پُرسکون,positive,0.8,curated+public-seeds,polarity,urdu
سکون بخش,positive,0.8,curated+public-seeds,polarity,urdu
حوصلہ افزا,positive,0.8,curated+public-seeds,polarity,urdu
ہوش ربا,positive,0.8,curated+public-seeds,polarity,urdu
دل نواز,positive,0.8,curated+public-seeds,polarity,urdu
پیارا,positive,0.8,curated+public-seeds,polarity,urdu
محبت بھرا,positive,0.8,curated+public-seeds,polarity,urdu
مہذب,positive,0.8,curated+public-seeds,polarity,urdu
شائستہ,positive,0.8,curated+public-seeds,polarity,urdu
مہربان,positive,0.8,curated+public-seeds,polarity,urdu
رحمدل,positive,0.8,curated+public-seeds,polarity,urdu
خیر خواہ,positive,0.8,curated+public-seeds,polarity,urdu
بہت عمدہ معیار,positive,0.8,curated+public-seeds,polarity,urdu
زہین,positive,0.8,curated+public-seeds,polarity,urdu
ذہین,positive,0.8,curated+public-seeds,polarity,urdu
قابل,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ قدر,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ تعریف کارکردگی,positive,0.8,curated+public-seeds,polarity,urdu
پر اثر,positive,0.8,curated+public-seeds,polarity,urdu
معقول,positive,0.8,curated+public-seeds,polarity,urdu
بہت بہتر,positive,0.8,curated+public-seeds,polarity,urdu
پر اعتماد,positive,0.8,curated+public-seeds,polarity,urdu
پر جوش,positive,0.8,curated+public-seeds,polarity,urdu
حوصلہ مند,positive,0.8,curated+public-seeds,polarity,urdu
مثبت,positive,0.8,curated+public-seeds,polarity,urdu
پائیدار,positive,0.8,curated+public-seeds,polarity,urdu
مضبوط,positive,0.8,curated+public-seeds,polarity,urdu
مستحکم,positive,0.8,curated+public-seeds,polarity,urdu
دلنشین,positive,0.8,curated+public-seeds,polarity,urdu
دل فریب,positive,0.8,curated+public-seeds,polarity,urdu
دلربا,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب ذائقہ,positive,0.8,curated+public-seeds,polarity,urdu
بہترین ذائقہ,positive,0.8,curated+public-seeds,polarity,urdu
انتہائی مطمئن,positive,0.8,curated+public-seeds,polarity,urdu
بہت مطمئن,positive,0.8,curated+public-seeds,polarity,urdu
لاجواب سروس,positive,0.8,curated+public-seeds,polarity,urdu
بہترین سروس,positive,0.8,curated+public-seeds,polarity,urdu
قابلِ ستائش,positive,0.8,curated+public-seeds,polarity,urdu
پرکشش ڈیزائن,positive,0.8,curated+public-seeds,polarity,urdu
برا,negative,0.8,curated+public-seeds,polarity,urdu
بری,negative,0.8,curated+public-seeds,polarity,urdu
برے,negative,0.8,curated+public-seeds,polarity,urdu
بدترین,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی برا,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی بری,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی برے,negative,0.8,curated+public-seeds,polarity,urdu
خراب,negative,0.8,curated+public-seeds,polarity,urdu
خرابی,negative,0.8,curated+public-seeds,polarity,urdu
ناکارہ,negative,0.8,curated+public-seeds,polarity,urdu
ناقابلِ قبول,negative,0.8,curated+public-seeds,polarity,urdu
ناقابل قبول,negative,0.8,curated+public-seeds,polarity,urdu
غلط,negative,0.8,curated+public-seeds,polarity,urdu
بیکار,negative,0.8,curated+public-seeds,polarity,urdu
بےکار,negative,0.8,curated+public-seeds,polarity,urdu
ردی,negative,0.8,curated+public-seeds,polarity,urdu
گھٹیا,negative,0.8,curated+public-seeds,polarity,urdu
فضول,negative,0.8,curated+public-seeds,polarity,urdu
ناقص,negative,0.8,curated+public-seeds,polarity,urdu
کمزور,negative,0.8,curated+public-seeds,polarity,urdu
بدصورت,negative,0.8,curated+public-seeds,polarity,urdu
بد ذائقہ,negative,0.8,curated+public-seeds,polarity,urdu
بدبو دار,negative,0.8,curated+public-seeds,polarity,urdu
گندا,negative,0.8,curated+public-seeds,polarity,urdu
غلیظ,negative,0.8,curated+public-seeds,polarity,urdu
مایوس,negative,0.8,curated+public-seeds,polarity,urdu
مایوس کن,negative,0.8,curated+public-seeds,polarity,urdu
حوصلہ شکن,negative,0.8,curated+public-seeds,polarity,urdu
ناکام,negative,0.8,curated+public-seeds,polarity,urdu
ناکامی,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی خراب,negative,0.8,curated+public-seeds,polarity,urdu
تباہ کن,negative,0.8,curated+public-seeds,polarity,urdu
تباہی,negative,0.8,curated+public-seeds,polarity,urdu
نفرت انگیز,negative,0.8,curated+public-seeds,polarity,urdu
نفرت,negative,0.8,curated+public-seeds,polarity,urdu
غصہ دلانے والا,negative,0.8,curated+public-seeds,polarity,urdu
غصہ,negative,0.8,curated+public-seeds,polarity,urdu
جھوٹا,negative,0.8,curated+public-seeds,polarity,urdu
دھوکہ,negative,0.8,curated+public-seeds,polarity,urdu
دھوکہ دہی,negative,0.8,curated+public-seeds,polarity,urdu
فریب,negative,0.8,curated+public-seeds,polarity,urdu
مکار,negative,0.8,curated+public-seeds,polarity,urdu
بد نیت,negative,0.8,curated+public-seeds,polarity,urdu
بدتمیز,negative,0.8,curated+public-seeds,polarity,urdu
بد اخلاق,negative,0.8,curated+public-seeds,polarity,urdu
بداخلاق,negative,0.8,curated+public-seeds,polarity,urdu
بدسلوکی,negative,0.8,curated+public-seeds,polarity,urdu
بدکلام,negative,0.8,curated+public-seeds,polarity,urdu
تلخ,negative,0.8,curated+public-seeds,polarity,urdu
کڑوا,negative,0.8,curated+public-seeds,polarity,urdu
اذیت دہ,negative,0.8,curated+public-seeds,polarity,urdu
تکلیف دہ,negative,0.8,curated+public-seeds,polarity,urdu
پریشان کن,negative,0.8,curated+public-seeds,polarity,urdu
خطرناک,negative,0.8,curated+public-seeds,polarity,urdu
خوفناک,negative,0.8,curated+public-seeds,polarity,urdu
ڈراؤنا,negative,0.8,curated+public-seeds,polarity,urdu
برا تجربہ,negative,0.8,curated+public-seeds,polarity,urdu
برا سلوک,negative,0.8,curated+public-seeds,polarity,urdu
غیر معیاری,negative,0.8,curated+public-seeds,polarity,urdu
کم معیار,negative,0.8,curated+public-seeds,polarity,urdu
ناروا,negative,0.8,curated+public-seeds,polarity,urdu
ناقابلِ برداشت,negative,0.8,curated+public-seeds,polarity,urdu
غیر مطمئن,negative,0.8,curated+public-seeds,polarity,urdu
عدم اطمینان,negative,0.8,curated+public-seeds,polarity,urdu
ناپسندیدہ,negative,0.8,curated+public-seeds,polarity,urdu
بدتر,negative,0.8,curated+public-seeds,polarity,urdu
سب سے بدتر,negative,0.8,curated+public-seeds,polarity,urdu
غیر ذمہ دار,negative,0.8,curated+public-seeds,polarity,urdu
لاپرواہ,negative,0.8,curated+public-seeds,polarity,urdu
سست,negative,0.8,curated+public-seeds,polarity,urdu
کاہل,negative,0.8,curated+public-seeds,polarity,urdu
گھٹیا معیار,negative,0.8,curated+public-seeds,polarity,urdu
خراب کارکردگی,negative,0.8,curated+public-seeds,polarity,urdu
دیر,negative,0.8,curated+public-seeds,polarity,urdu
تاخیر,negative,0.8,curated+public-seeds,polarity,urdu
سست روی,negative,0.8,curated+public-seeds,polarity,urdu
خرابی پیدا,negative,0.8,curated+public-seeds,polarity,urdu
ناکافی,negative,0.8,curated+public-seeds,polarity,urdu
نامناسب,negative,0.8,curated+public-seeds,polarity,urdu
غیر مؤثر,negative,0.8,curated+public-seeds,polarity,urdu
غیر مؤثر,negative,0.8,curated+public-seeds,polarity,urdu
ناموزوں,negative,0.8,curated+public-seeds,polarity,urdu
مہنگا اور خراب,negative,0.8,curated+public-seeds,polarity,urdu
وقت کا ضیاع,negative,0.8,curated+public-seeds,polarity,urdu
پیسوں کا ضیاع,negative,0.8,curated+public-seeds,polarity,urdu
کمر توڑ,negative,0.8,curated+public-seeds,polarity,urdu
بدبودار,negative,0.8,curated+public-seeds,polarity,urdu
جھوٹ,negative,0.8,curated+public-seeds,polarity,urdu
جعلی,negative,0.8,curated+public-seeds,polarity,urdu
ناگوار,negative,0.8,curated+public-seeds,polarity,urdu
گھٹیا ذائقہ,negative,0.8,curated+public-seeds,polarity,urdu
بدترین سروس,negative,0.8,curated+public-seeds,polarity,urdu
انتہائی مایوس کن,negative,0.8,curated+public-seeds,polarity,urdu
غیر ذمہ دار سروس,negative,0.8,curated+public-seeds,polarity,urdu
زیادہ شور,negative,0.8,curated+public-seeds,polarity,urdu
ناپسند,negative,0.8,curated+public-seeds,polarity,urdu
پچھتاوا,negative,0.8,curated+public-seeds,polarity,urdu
افسوس ناک,negative,0.8,curated+public-seeds,polarity,urdu
افسوسناک,negative,0.8,curated+public-seeds,polarity,urdu
ناکافی معیار,negative,0.8,curated+public-seeds,polarity,urdu
behtareen,positive,0.7,curated+public-seeds,polarity,roman
umda,positive,0.7,curated+public-seeds,polarity,roman
shandaar,positive,0.7,curated+public-seeds,polarity,roman
zabardast,positive,0.7,curated+public-seeds,polarity,roman
kamal,positive,0.7,curated+public-seeds,polarity,roman
lajawab,positive,0.7,curated+public-seeds,polarity,roman
khoobsurat,positive,0.7,curated+public-seeds,polarity,roman
dilkash,positive,0.7,curated+public-seeds,polarity,roman
khush,positive,0.7,curated+public-seeds,polarity,roman
khushgawar,positive,0.7,curated+public-seeds,polarity,roman
pasandeeda,positive,0.7,curated+public-seeds,polarity,roman
mufeed,positive,0.7,curated+public-seeds,polarity,roman
moasser,positive,0.7,curated+public-seeds,polarity,roman
reliable,positive,0.7,curated+public-seeds,polarity,roman
accha,positive,0.7,curated+public-seeds,polarity,roman
achha,positive,0.7,curated+public-seeds,polarity,roman
acha,positive,0.7,curated+public-seeds,polarity,roman
ache,positive,0.7,curated+public-seeds,polarity,roman
acha kaam,positive,0.7,curated+public-seeds,polarity,roman
umda service,positive,0.7,curated+public-seeds,polarity,roman
best,positive,0.7,curated+public-seeds,polarity,roman
awesome,positive,0.7,curated+public-seeds,polarity,roman
amazing,positive,0.7,curated+public-seeds,polarity,roman
sukoon bakhsh,positive,0.7,curated+public-seeds,polarity,roman
mutmain,positive,0.7,curated+public-seeds,polarity,roman
mast,positive,0.7,curated+public-seeds,polarity,roman
pyara,positive,0.7,curated+public-seeds,polarity,roman
meharban,positive,0.7,curated+public-seeds,polarity,roman
bura,negative,0.7,curated+public-seeds,polarity,roman
buri,negative,0.7,curated+public-seeds,polarity,roman
bure,negative,0.7,curated+public-seeds,polarity,roman
badtareen,negative,0.7,curated+public-seeds,polarity,roman
kharab,negative,0.7,curated+public-seeds,polarity,roman
galat,negative,0.7,curated+public-seeds,polarity,roman
bekaar,negative,0.7,curated+public-seeds,polarity,roman
bekar,negative,0.7,curated+public-seeds,polarity,roman
ghatiya,negative,0.7,curated+public-seeds,polarity,roman
fazool,negative,0.7,curated+public-seeds,polarity,roman
naqis,negative,0.7,curated+public-seeds,polarity,roman
kamzor,negative,0.7,curated+public-seeds,polarity,roman
badsoorat,negative,0.7,curated+public-seeds,polarity,roman
ganda,negative,0.7,curated+public-seeds,polarity,roman
ghaleez,negative,0.7,curated+public-seeds,polarity,roman
mayus,negative,0.7,curated+public-seeds,polarity,roman
mayuskun,negative,0.7,curated+public-seeds,polarity,roman
nakam,negative,0.7,curated+public-seeds,polarity,roman
naakami,negative,0.7,curated+public-seeds,polarity,roman
nafrat,negative,0.7,curated+public-seeds,polarity,roman
ghussa,negative,0.7,curated+public-seeds,polarity,roman
jhota,negative,0.7,curated+public-seeds,polarity,roman
dhoka,negative,0.7,curated+public-seeds,polarity,roman
fareb,negative,0.7,curated+public-seeds,polarity,roman
makkar,negative,0.7,curated+public-seeds,polarity,roman
badtameez,negative,0.7,curated+public-seeds,polarity,roman
badakhlaq,negative,0.7,curated+public-seeds,polarity,roman
talkh,negative,0.7,curated+public-seeds,polarity,roman
takleef deh,negative,0.7,curated+public-seeds,polarity,roman
khatarnaak,negative,0.7,curated+public-seeds,polarity,roman
darauna,negative,0.7,curated+public-seeds,polarity,roman
bura tajurba,negative,0.7,curated+public-seeds,polarity,roman
ghair mayari,negative,0.7,curated+public-seeds,polarity,roman
kam mayar,negative,0.7,curated+public-seeds,polarity,roman
la parwaah,negative,0.7,curated+public-seeds,polarity,roman
sust,negative,0.7,curated+public-seeds,polarity,roman
kaahil,negative,0.7,curated+public-seeds,polarity,roman
der,negative,0.7,curated+public-seeds,polarity,roman
takhir,negative,0.7,curated+public-seeds,polarity,roman
nakafi,negative,0.7,curated+public-seeds,polarity,roman
na-munasib,negative,0.7,curated+public-seeds,polarity,roman
ghair moasser,negative,0.7,curated+public-seeds,polarity,roman
jhoth,negative,0.7,curated+public-seeds,polarity,roman
jaali,negative,0.7,curated+public-seeds,polarity,roman
afsoosnaak,negative,0.7,curated+public-seeds,polarity,roman
na pasand,negative,0.7,curated+public-seeds,polarity,roman
